"Postcode","Suburb","Population"
"3005","World Trade Centre",525
"3010","University Of Melbourne",1593
"3022","Ardeer, Deer Park East",3103
"3026","Laverton North",73
"3045","Melbourne Airport",104
"3050","Royal Melbourne Hospital",117
"3062","Somerton",0
"3063","Oaklands Junction, Yuroke",573
"3090","Plenty",2364
"3097","Bend Of Islands, Kangaroo Ground, Watsons Creek",1443
"3428","Bulla",675
"3766","Kalorama",1239
"3767","Mount Dandenong",1251
"3787","Sassafras, Sassafras Gully",1062
"3789","Sherbrooke",265
"3791","Kallista",1437
"3792","The Patch",1065
"3795","Silvan",1246
"3916","Merricks, Shoreham",955
"3920","Hmas Cerberus",1040
"3928","Main Ridge",416
"3929","Flinders",905
"3933","Moorooduc",1098
"3944","Portsea",510
